time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-01T00:00:19.000Z,60.9633,-146.9211,25.6,0.8,ml,,,,0.6,ak,ak11522361,2015-03-05T02:13:42.711Z,"36km WSW of Valdez, Alaska",earthquake
2015-03-01T00:02:50.000Z,59.2805,-152.4038,65.7,1.7,ml,,,,0.39,ak,ak11520339,2015-03-05T02:12:15.081Z,"63km SW of Homer, Alaska",earthquake
2015-03-01T00:05:12.200Z,35.9531,-96.7739,3.88,3.2,ml,,78,,0.49,us,usc000tu3p,2015-03-18T18:40:16.501Z,"3km S of Cushing, Oklahoma",earthquake
2015-03-01T00:05:16.000Z,64.9834,-147.3453,0,1.4,ml,,,,0.39,ak,ak11520340,2015-03-05T02:12:15.634Z,"22km NNE of Badger, Alaska",earthquake
2015-03-01T00:07:32.670Z,46.4196667,-119.2745,1.37,1.29,md,14,119,0.01373,0.04,uw,uw60977666,2015-03-02T03:13:55.020Z,"14km N of Richland, Washington",earthquake
2015-03-01T00:10:54.810Z,36.0505,-117.5991667,2.46,0.42,ml,9,106,0.08958,0.13,ci,ci37105751,2015-03-02T20:44:47.702Z,"30km ENE of Little Lake, California",earthquake
2015-03-01T00:20:09.240Z,37.4745,-118.8426667,9.16,0.75,md,13,126,0.1158,0.02,nc,nc72403400,2015-03-02T23:52:07.750Z,"22km SSE of Mammoth Lakes, California",earthquake
2015-03-01T00:20:29.580Z,33.2238333,-116.074,11.74,1.78,ml,52,77,0.09276,0.18,ci,ci37105767,2015-03-02T20:50:25.360Z,"10km NNE of Ocotillo Wells, California",earthquake
2015-03-01T00:21:22.000Z,60.0179,-139.5655,0,1,ml,,,,0.67,ak,ak11520343,2015-03-05T02:12:25.515Z,"53km N of Yakutat, Alaska",earthquake
2015-03-01T00:25:51.190Z,35.668,-121.0813333,5.45,1.54,md,42,95,0.06061,0.07,nc,nc72403405,2015-03-03T11:06:04.417Z,"10km ENE of San Simeon, California",earthquake
2015-03-01T00:27:04.600Z,37.2191667,-118.1848333,8.06,1.93,md,37,206,0.1615,0.07,nc,nc72403410,2015-03-04T05:55:03.450Z,"11km ENE of Big Pine, California",earthquake
2015-03-01T00:29:08.200Z,33.6901667,-116.7628333,15.54,0.54,ml,21,68,0.04566,0.34,ci,ci37105775,2015-03-02T18:08:11.152Z,"7km SW of Idyllwild, California",earthquake
2015-03-01T00:29:51.600Z,47.8646,-114.9696,0.3,1.1,mc,14,197.999984160001,0.1239675,0.15,mb,mb15229815,2015-03-03T19:15:43.705Z,"40km NE of Thompson Falls, Montana",earthquake
2015-03-01T00:38:07.000Z,61.6027,-150.7837,17,1,ml,,,,0.78,ak,ak11522365,2015-03-05T02:13:32.079Z,"42km WSW of Willow, Alaska",earthquake
2015-03-01T00:38:12.440Z,-30.1835,-177.7638,35.15,4.1,mb,,189,0.946,0.28,us,usc000tv9r,2015-03-29T03:36:06.472Z,"102km S of Raoul Island, New Zealand",earthquake
2015-03-01T00:43:17.990Z,36.0483333,-117.5993333,1.1,1.17,ml,23,73,0.08992,0.32,ci,ci37105799,2015-03-02T18:08:15.150Z,"30km ENE of Little Lake, California",earthquake
2015-03-01T00:44:09.720Z,36.0506667,-117.596,3.91,0.56,ml,16,76,0.08701,0.12,ci,ci37105807,2015-03-02T20:53:39.826Z,"31km ENE of Little Lake, California",earthquake
2015-03-01T00:46:14.000Z,61.8579,-149.2452,11.9,1,ml,,,,0.52,ak,ak11522366,2015-03-05T02:13:43.296Z,"12km N of Fishhook, Alaska",earthquake
2015-03-01T00:47:03.000Z,60.0126,-139.5704,0,0.8,ml,,,,0.48,ak,ak11522367,2015-03-05T02:13:44.196Z,"52km N of Yakutat, Alaska",earthquake
2015-03-01T00:50:36.000Z,60.4537,-153.4538,178.9,2.3,ml,,,,0.72,ak,ak11520344,2015-03-05T02:12:38.421Z,"39km W of Redoubt Volcano, Alaska",earthquake
2015-03-01T00:51:34.300Z,18.5494,-66.1224,108,2.7,Md,3,198,0.48059868,0.18,pr,pr15060001,2015-04-05T00:10:12.040Z,"9km N of San Juan, Puerto Rico",earthquake
2015-03-01T01:00:03.980Z,38.811,-122.8131667,2.9,1.63,md,55,36,0.01261,0.04,nc,nc72403415,2015-03-12T20:56:05.683Z,"6km NW of The Geysers, California",earthquake
2015-03-01T01:00:17.690Z,38.8105011,-122.8131638,2.84,1.03,md,12,103,0.01262,0.01,nc,nc72403420,2015-03-01T01:25:04.702Z,"6km NW of The Geysers, California",earthquake
2015-03-01T01:00:38.910Z,38.8106651,-122.814003,3.08,0.43,md,6,170,0.01308,0.03,nc,nc72403425,2015-03-01T01:36:05.299Z,"6km NW of The Geysers, California",earthquake
2015-03-01T01:03:59.000Z,60.139,-141.3345,0,1.4,ml,,,,0.87,ak,ak11520348,2015-03-05T02:12:13.943Z,"61km E of Cape Yakataga, Alaska",earthquake
2015-03-01T01:18:35.810Z,1.768,126.5388,51.4,4.2,mb,,172,1.29,0.48,us,usc000tv96,2015-03-27T01:42:15.203Z,"142km NW of Kota Ternate, Indonesia",earthquake
2015-03-01T01:25:20.170Z,37.6241667,-118.829,9.95,1.23,md,27,56,0.008215,0.03,nc,nc72403435,2015-03-03T21:40:06.282Z,"12km ESE of Mammoth Lakes, California",earthquake
